date		price
2/7/2005	196.03	3/30/2005 	180.45	5/18/2005 	239.16 
2/8/2005      	198.64	3/31/2005 	180.51	5/19/2005 	239.18 
2/9/2005      	191.58	4/1/2005      	180.04	5/20/2005 	241.61 
2/10/2005 	187.98	4/4/2005      	185.29	5/23/2005 	255.45 
2/11/2005 	187.40	4/5/2005      	188.57	5/24/2005 	256.00 
2/14/2005 	192.99	4/6/2005      	189.22	5/25/2005 	260.81 
2/15/2005 	195.23	4/7/2005      	193.76	5/26/2005 	259.20 
2/16/2005 	198.41	4/8/2005      	192.05	5/27/2005 	266.00 
2/17/2005 	197.90	4/11/2005 	193.23	5/31/2005 	277.27 
2/18/2005 	197.95	4/12/2005 	193.96	6/1/2005      	288.00 
2/22/2005 	191.37	4/13/2005 	192.93	6/2/2005      	287.90 
2/23/2005 	193.95	4/14/2005 	191.45	6/3/2005      	280.26 
2/24/2005 	188.89	4/15/2005 	185.00	6/6/2005      	290.94 
2/25/2005 	185.87	4/18/2005 	186.97	6/7/2005      	293.12 
2/28/2005 	187.99	4/19/2005 	191.40	6/8/2005      	279.56 
3/1/2005  	186.06	4/20/2005 	198.10	6/9/2005      	286.31 
3/2/2005  	185.18	4/21/2005 	204.22	6/10/2005 	282.50 
3/3/2005  	187.01	4/22/2005 	215.81	6/13/2005 	282.75 
3/4/2005  	185.90	4/25/2005 	223.53	6/14/2005 	278.35 
3/7/2005  	188.81	4/26/2005 	218.75	6/15/2005 	274.80 
3/8/2005  	185.20	4/27/2005 	219.78	6/16/2005 	277.44 
3/9/2005  	181.35	4/28/2005 	219.45	6/17/2005 	280.30 
3/10/2005 	179.98	4/29/2005 	220.00	6/20/2005 	286.70 
3/11/2005 	177.80	5/2/2005  	222.29	6/21/2005 	287.84 
3/14/2005 	174.99	5/3/2005      	226.19	6/22/2005 	289.30 
3/15/2005 	178.61	5/4/2005      	228.50	6/23/2005 	289.71 
3/16/2005 	175.60	5/5/2005      	226.98	6/24/2005 	297.25 
3/17/2005 	179.29	5/6/2005      	228.02	6/27/2005 	304.10 
3/18/2005 	180.04	5/9/2005  	226.02	6/28/2005 	302.00 
3/21/2005 	180.88	5/10/2005 	227.80	6/29/2005 	292.72 
3/22/2005 	178.60	5/11/2005 	231.29	6/30/2005 	294.15 
3/23/2005 	178.98	5/12/2005 	228.72	7/1/2005      	291.25 
3/24/2005 	179.25	5/13/2005 	229.24	7/5/2005      	295.71 
3/28/2005 	181.42	5/16/2005 	231.05	7/6/2005  	291.52 
3/29/2005 	179.57	5/17/2005 	233.13	7/7/2005  	295.54 
